Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,36.660000,36.790001,36.220001,36.360001,31.908039,55234100
2004-01-05,36.580002,37.160000,36.560001,37.090000,32.548660,69717900
2004-01-06,37.080002,37.419998,36.950001,37.340000,32.768051,60033000
2004-01-07,37.279999,37.680000,37.070000,37.680000,33.066414,71830000
2004-01-08,37.849998,38.000000,37.599998,37.980000,33.329681,76800900
2004-01-09,37.709999,38.349998,37.590000,37.730000,33.110294,94296500
2004-01-12,37.849998,38.349998,37.680000,38.330002,33.636852,77668400
2004-01-13,38.270000,38.360001,37.599998,37.950001,33.303371,92973900
2004-01-14,38.080002,38.250000,37.750000,38.080002,33.417439,68122400
2004-01-15,37.930000,38.459999,37.630001,38.180000,33.505184,104427700
2004-01-16,38.380001,38.630001,38.169998,38.570000,33.847458,77324100
2004-01-20,38.730000,39.000000,38.310001,38.540001,33.821129,81998100
2004-01-21,38.389999,38.660000,38.000000,38.380001,33.680710,112180300
2004-01-22,38.549999,38.689999,38.060001,38.150002,33.478870,90061900
2004-01-23,38.209999,38.459999,37.779999,38.009998,33.356003,88751300
2004-01-26,37.980000,38.650002,37.840000,38.590000,33.864998,84538000
2004-01-27,38.509998,38.630001,37.689999,37.740002,33.119064,97191600
2004-01-28,37.939999,38.060001,37.000000,37.099998,32.557442,127959700
2004-01-29,37.240002,37.310001,36.660000,37.240002,32.680294,143925900
2004-01-30,37.200001,37.439999,36.970001,37.070000,32.531101,84264700
2004-02-02,37.200001,37.480000,36.820000,36.970001,32.443363,94507900
2004-02-03,36.910000,37.240002,36.840000,36.930000,32.408241,73488700
2004-02-04,36.619999,36.860001,36.330002,36.330002,31.881701,109933000
2004-02-05,36.509998,36.709999,36.330002,36.470001,32.004578,96784500
2004-02-06,36.599998,37.279999,36.529999,37.130001,32.583767,107174100
2004-02-09,37.340000,37.380001,37.049999,37.119999,32.574978,58817700
2004-02-10,37.060001,37.410000,37.029999,37.180000,32.627632,65042700
2004-02-11,37.240002,37.669998,37.070000,37.580002,32.978668,92503000
2004-02-12,37.520000,37.700001,37.240002,37.250000,32.689072,70556400
2004-02-13,37.389999,37.970001,36.759998,36.939999,32.417019,90570400
2004-02-17,37.279999,37.619999,37.220001,37.439999,32.855812,69678600
2004-02-18,37.509998,37.669998,37.320000,37.549999,32.952328,70972100
2004-02-19,37.869999,37.900002,36.820000,36.980000,32.452137,100843800
2004-02-20,37.000000,37.139999,36.549999,36.860001,32.346836,132347600
2004-02-23,37.000000,37.029999,36.110001,36.450001,31.987032,125199800
2004-02-24,36.299999,36.650002,36.099998,36.360001,31.908039,124521900
2004-02-25,36.430000,36.669998,36.330002,36.580002,32.101109,74457100
2004-02-26,36.470001,36.840000,36.310001,36.669998,32.180080,71327600
2004-02-27,36.759998,36.939999,36.270000,36.570000,32.092327,99383900
2004-03-01,36.680000,37.070000,36.470001,37.049999,32.513565,79700700
2004-03-02,36.980000,37.180000,36.610001,36.619999,32.136211,91536000
2004-03-03,36.509998,36.630001,36.209999,36.419998,31.960690,83938300
2004-03-04,36.439999,36.830002,36.389999,36.759998,32.259068,65905600
2004-03-05,36.419998,37.150002,36.360001,36.630001,32.144981,118107100
2004-03-08,36.689999,36.820000,35.730000,35.770000,31.390278,112599500
2004-03-09,35.810001,35.980000,35.520000,35.660000,31.293762,126140400
2004-03-10,35.750000,36.000000,35.130001,35.189999,30.881298,134226100
2004-03-11,35.070000,35.529999,34.799999,34.869999,30.600473,152132000
2004-03-12,35.180000,35.590000,35.150002,35.509998,31.162113,118369600
2004-03-15,35.360001,35.400002,34.810001,34.889999,30.618031,115813600
2004-03-16,35.110001,35.250000,34.630001,34.950001,30.670677,123265100
2004-03-17,35.209999,35.619999,35.180000,35.500000,31.153341,91684700
2004-03-18,35.369999,35.459999,34.970001,35.340000,31.012938,111249700
2004-03-19,35.279999,35.459999,34.720001,34.750000,30.495163,99976700
2004-03-22,34.529999,34.549999,34.029999,34.310001,30.109043,133870400
2004-03-23,34.590000,34.650002,34.009998,34.029999,29.863317,125945800
2004-03-24,34.150002,34.630001,34.009998,34.419998,30.205561,118876800
2004-03-25,34.650002,35.459999,34.619999,35.340000,31.012938,142122000
2004-03-26,35.299999,35.580002,35.200001,35.220001,30.907635,78430800
2004-03-29,35.509998,35.959999,35.490002,35.790001,31.407820,103864000
2004-03-30,35.669998,35.939999,35.520000,35.910000,31.513142,95716500
2004-03-31,35.919998,36.000000,35.610001,35.840000,31.451704,85993900
2004-04-01,35.810001,36.250000,35.779999,36.160000,31.732515,93048600
2004-04-02,36.889999,37.160000,36.520000,37.099998,32.557442,145964000
