,Mkt-RF,SMB,HML,RF
19260701,0.001,-0.0024,-0.0028,0.00009
19260702,0.0045,-0.0032,-0.0008,0.00009
19260706,0.0017,0.0027,-0.0035,0.00009
19260707,0.0009,-0.0059,0.0003,0.00009
19260708,0.0021,-0.0036,0.0015,0.00009
19260709,-0.0071,0.0044,0.0056,0.00009
19260710,0.0062,-0.005,-0.0015,0.00009
19260712,0.0004,0.0003,0.0054,0.00009
19260713,0.0048,-0.0026,-0.0023,0.00009
19260714,0.0004,0.0009,-0.0048,0.00009
19260715,-0.0043,0.0054,-0.003,0.00009
19260716,0.0053,0.0001,-0.0057,0.00009
19260717,0.0034,0.0043,-0.0063,0.00009
19260719,-0.0001,0.0001,-0.0049,0.00009
19260720,-0.0057,-0.0023,0.0016,0.00009
19260721,-0.006,0.0021,0.0031,0.00009
19260722,-0.0073,-0.003,-0.0017,0.00009
19260723,-0.0002,0.0008,0.0006,0.00009
19260724,-0.0014,0.0044,-0.0006,0.00009
19260726,0.0053,-0.0038,-0.0025,0.00009
19260727,0.0043,-0.0045,0.0026,0.00009
19260728,0.0109,0.0004,-0.0028,0.00009
19260729,0.0036,-0.0061,-0.0101,0.00009
19260730,0.0014,-0.0047,0.0055,0.00009
19260731,0.0046,-0.0012,-0.0017,0.00009
19260802,0.0084,-0.0022,-0.0003,0.0001
19260803,0.0047,-0.0027,-0.006,0.0001
19260804,-0.0036,0.0016,0.0025,0.0001
19260805,-0.0009,0.0001,0.0073,0.0001
19260806,0.0068,0.0008,0.0016,0.0001
19260807,0.0046,0.0008,-0.0024,0.0001
19260809,0.0021,-0.0004,-0.0026,0.0001
19260810,-0.014,0.0034,0.0021,0.0001
19260811,-0.0057,0.0021,0.0034,0.0001
19260812,0.0084,-0.0077,0.0042,0.0001
19260813,0.0058,-0.0085,0.0025,0.0001
19260814,0.0069,0.0015,-0.0036,0.0001
19260816,0.0007,0.0023,0.007,0.0001
19260817,-0.0095,0.0034,0.0016,0.0001
19260818,0.0026,0.0008,0.0004,0.0001
19260819,-0.006,0.0012,0.001,0.0001
19260820,-0.002,-0.0036,0.0042,0.0001
19260821,0.0032,-0.0006,0.0049,0.0001
19260823,0.0049,-0.0048,0.0062,0.0001
19260824,-0.0084,0.005,-0.0009,0.0001
19260825,-0.0032,-0.0043,0.0028,0.0001
19260826,0.0053,0.0009,0.005,0.0001
19260827,0.0035,0.0013,-0.0039,0.0001
19260828,0.0034,0.0015,-0.0006,0.0001
19260830,0.003,0,0.0042,0.0001
19260831,0.0058,-0.0052,-0.0004,0.0001
19260901,0.0055,0.0052,-0.0008,0.00009
19260902,-0.0006,-0.0007,0.0021,0.00009
19260903,0.005,-0.003,0.0003,0.00009
19260907,0.0059,-0.0025,-0.0024,0.00009
19260908,-0.0051,-0.001,0.0008,0.00009
19260909,-0.0007,0.0016,0.0026,0.00009
19260910,-0.0083,0.0009,-0.0013,0.00009
19260911,-0.0044,0.0032,0.0013,0.00009
19260913,-0.0003,-0.0011,0.005,0.00009
19260914,0.009,-0.0062,0.0009,0.00009
19260915,-0.0021,0.004,-0.0019,0.00009
19260916,-0.0018,-0.0033,0.001,0.00009
19260917,-0.0101,-0.0016,-0.0028,0.00009
19260918,0.007,-0.0028,-0.0011,0.00009
19260920,-0.0064,0.0003,-0.0001,0.00009
19260921,0.003,-0.0042,0.0019,0.00009
19260922,-0.0013,0.0005,-0.0001,0.00009
19260923,0.0026,-0.0016,0.0006,0.00009
19260924,0.0062,-0.0019,-0.0003,0.00009
19260925,0.0021,0.0002,-0.0056,0.00009
19260927,-0.0012,0.0014,0.0039,0.00009
19260928,0,-0.0002,-0.0035,0.00009
19260929,-0.003,0.0022,-0.0019,0.00009
19260930,0.003,-0.0022,0.0006,0.00009
19261001,0.0073,-0.0027,-0.0023,0.00013
19261002,-0.001,-0.0002,-0.0008,0.00013
19261004,-0.014,-0.001,-0.001,0.00013
19261005,-0.011,0.0044,-0.0072,0.00013
19261006,-0.0056,-0.0069,-0.0028,0.00013
19261007,-0.0077,0.0032,0.003,0.00013
19261008,0.0059,-0.0036,0.0058,0.00013
19261009,-0.0096,0.0044,-0.0005,0.00013
19261011,-0.0069,-0.0008,-0.0016,0.00013
19261013,0.0069,-0.0031,-0.0004,0.00013
