,bop_90_120_beta1,bop_90_120_beta3,bop_90_120_beta2,op_40_90_beta3,op_40_90_beta2,op_40_90_beta1,bop_40_90_beta3,aop_40_90_beta1,bop_40_90_beta2,aop_40_90_beta2,aop_40_90_beta3,bop_40_90_beta1,dop_40_90_beta1,bop_40_120_beta1,dop_40_90_beta2,bop_40_120_beta2,bop_40_120_beta3,dop_40_90_beta3,aop_40_120_beta3,dop_40_120_beta2,dop_40_120_beta3,aop_40_120_beta2,dop_40_120_beta1,aop_40_120_beta1,op_90_120_beta1,op_90_120_beta2,op_90_120_beta3,op_40_120_beta1,op_40_120_beta3,op_40_120_beta2,dop_90_120_beta3,aop_90_120_beta2,aop_90_120_beta3,dop_90_120_beta2,aop_90_120_beta1,dop_90_120_beta1
Conditional_VaR,3.286185358448793,3.2183235614705095,3.2347116585946107,2.432876718747792,2.4058594786722165,2.4509227554422046,2.85794876104226,2.0877657132251337,2.8248392187310927,2.095537805536875,2.1569787735575994,2.876808695574535,4.337730289822958,2.894096378961162,3.9771762740425003,2.836473753587834,2.8668777045267437,3.7842082273081914,2.1096331853726946,4.106352748449289,3.755111090361427,2.046412492197024,4.50019366780215,2.0438098410737022,2.461682821602399,2.380154375423581,2.3532505476437704,2.428505919741637,2.3830171455608635,2.378110980211499,3.145423565803897,2.1457520844092395,2.1675273923634655,3.453794005234035,2.1556844806464865,4.071982223432
Cumulative_Return,3.7372434923942746,5.464899761189452,4.204165768168043,-0.05915413950272057,-0.07377415426349053,-0.08117201362281261,2.550397595896864,-0.10063764119066729,2.503445582304754,-0.09768634239484443,-0.0914682660944529,2.1737785084678602,-0.496366826952987,2.3329354037968297,-0.3149327094438228,2.479855763626249,2.5214850544262313,-0.1367012390513282,-0.07663046034508031,-0.5409496093347277,-0.23847325694812813,-0.08596517610975962,-0.668125918244998,-0.09075817059038176,-0.07868993683958121,-0.04507456974935631,0.08094986728876181,-0.07472409107321741,-0.03825304224714663,-0.06542896217268578,8.846826751099583,-0.10382562179234005,-0.10158708443926791,5.5828486307315535,-0.10489660038719177,2.6627255436967165
Daily_Mean_Arith,2.611767110936143,2.9176345450657157,2.6762200419512734,0.43987420826917506,0.3675062561938133,0.3233189643988268,2.0632195952989703,0.08657791801563952,2.031880917432849,0.13505089088105723,0.21456117753611534,1.9352234425853339,1.0419505538298823,2.0136103936099414,1.1119428654752912,2.0541012061746446,2.0895018687923694,1.2575455258215065,0.27093122524196683,0.7667000404301586,1.0650301669435696,0.21624586001755003,0.6937770364141963,0.19492540127579855,0.34623286000353454,0.4535875666757785,0.5745386879111732,0.3846895904879484,0.4688231079395816,0.403237472595326,3.314050889386735,-0.022165966197995126,0.08044827656752555,3.0752879161073854,-0.11807975246726363,2.7773262849770286
Daily_Mean_Geom,1.631952719653662,1.9694354171133077,1.7337422820936088,-0.09836848216937533,-0.16115863793161878,-0.22723527968057655,1.321197226166415,-0.32236797731444167,1.306914062437936,-0.2732830004575637,-0.21221197910806233,1.2010746160532881,-0.6825880712212351,1.2534363422647687,-0.3773029742898948,1.2996677027729553,1.31242362890871,-0.14686055705703804,-0.13652159701807443,-0.7742141980855988,-0.2719567187052241,-0.17754248162460406,-1.0933907527646836,-0.20704493699177928,-0.19916659418584004,-0.06324818045919112,0.057362569803875996,-0.1673312830766105,-0.05023888626573547,-0.12009744240576437,2.3089193339481673,-0.4301088057772351,-0.3446728424194301,1.8999856677676674,-0.5259684950811305,1.3061975842355578
Kurtosis,2.713829530360745,2.232460778092319,2.4793625069048826,5.01512210871698,5.078957405532444,5.754785198094805,3.485875476312329,3.4712987996385403,3.598442293871752,3.468573579105933,3.741387157952338,3.338084143304579,2.9834573465325027,3.064123255907951,2.919348629028403,3.2245888207449918,3.136694200431717,3.210660558038999,3.5495208345748965,3.504839093453553,3.595734015031354,3.4001527340283335,3.526565073528129,3.3229366326387435,5.732637474157794,4.3882402417331035,3.2906167163146227,6.442510424818879,5.205601181789563,5.7549040104840685,1.7099900123525256,3.1801345705145696,3.042656162749502,2.994037866280669,3.3001367478117976,3.7046715447598544
Max_Drawdown,5.301569743347617,6.226543027938935,5.525726827183009,8.381120683391831,9.739230115996309,9.33934324453336,2.612972925507033,0.6271111282223283,2.4926755806839838,0.6506032267819376,1.0108161296243212,2.2078101467500293,2.483946940409906,2.227192695261659,2.4711444272960894,2.4538478101145778,2.598495481209439,2.1856566846990386,1.290991802536909,1.847049507723403,2.1387616985377926,1.0007256621751361,1.7999865073898202,1.0983934276832676,37.17189034899407,46.82345021821783,58.237880316306864,6.780358877234063,7.841103645383825,6.9707690032386305,10.536022297740713,0.3880355964834633,0.5472828513017935,10.445255131420396,0.38973475664348367,9.058473558343596
Min_Daily_Return,-0.38884411806844266,-0.3464417828484122,-0.3653024345717285,-0.5187954202224292,-0.5202536092122616,-0.5215314331334727,-0.3596669019272687,-0.3475867612858897,-0.3612830911173077,-0.35164905830299104,-0.3557341775250742,-0.3629023486095352,-0.5215314331334727,-0.3628636696234223,-0.5202536092122636,-0.3612921239160681,-0.3597234565199713,-0.5187954202224299,-0.3565042222898199,-0.5188987078056104,-0.4496233516964779,-0.3523102373141006,-0.5203546921137634,-0.3481376576410061,-0.38884411806844266,-0.3653024345717287,-0.3783355634814195,-0.5203546921137634,-0.4496233516964779,-0.5188987078056104,-0.32258765741424666,-0.3646366881697923,-0.3783355634814195,-0.3609101863329426,-0.3413152985423308,-0.3846856039915357
Modified_Var,3.63889535103544,3.9826581105062253,3.711132407131409,0.9940623363397494,0.9089490409041224,0.8146961166964254,2.888095714471021,0.6821715941089256,2.830986735385861,0.7306224063396491,0.8037559526112763,2.7599955836388266,2.321910611052269,2.879551468910435,2.321202441411505,2.9016133419987007,2.96071774207971,2.395745796345583,0.8616039420812314,1.9021121730567487,2.114814851925872,0.8064432054971733,1.9098415479608906,0.7966530132587684,0.837334352441464,1.0452607887222038,1.2600743366396734,0.8165239111485589,0.9938076981761741,0.8834585701457158,4.45749862483524,0.5959112386191158,0.7214745793006376,4.1508708480374725,0.4910280671896228,3.882351487743401
Sharpe_Ratio,1.8925489159565008,2.144074964490379,1.974863976399035,0.4197358102084014,0.35172275083510773,0.30172812981491404,1.7161247600218845,0.0850305245002674,1.7070252021742984,0.1391111084424845,0.2230833547895538,1.6126496421555188,0.569322505569508,1.6485104235036185,0.6561734138234859,1.6890130693659067,1.6947291458219162,0.7654693052172492,0.2911322820090261,0.4413907737662945,0.6545066807836951,0.23358234064170272,0.36940677637884334,0.20704741783306171,0.3240419964728518,0.43901726292135346,0.5589385292236909,0.3601054459353062,0.4546664691816547,0.38854169943699657,2.3433407414677254,-0.03586626011052648,0.0769114248551269,1.9992314765692687,-0.1428801838046569,1.6150690520603144
Skewness,-0.42869156512176604,-0.40835684893041624,-0.428107665358536,-0.21713500841714184,-0.15083795254596982,-0.04890344562305847,-0.4966532162370691,0.03418655373269612,-0.43952715578629115,-0.02780944755600512,-0.12034004122576185,-0.3757819047498244,-0.13812006422575174,-0.36123827074204745,-0.2999413789251535,-0.37578465542330464,-0.4053600621351843,-0.3355486282175787,-0.13529409454052813,-0.12343113377934076,0.013777832893076953,-0.03737844050132146,0.015462636020959,0.028918846784692313,0.07550121995517646,0.005354810261501669,-0.08341332985012756,0.004922312315711562,-0.0988158217100932,-0.094654321239709,-0.11388537895203989,-0.12134369411612896,-0.09962700160070362,0.19847752730908663,-0.12879216571322744,0.29369130187282433
